spend_id,movie_id,month,channel,spend_usd,impressions,clicks,conversions
1,1,2024-09,Social Media,1275331.09,2841190,109723,1943
2,1,2024-09,TV Ads,309225.85,1471629,17136,5858
3,1,2024-09,Influencer,661110.05,2843411,20942,4386
4,1,2024-09,Search Ads,386185.6,4844211,37327,6314
5,1,2024-09,Email,383102.88,546063,98113,16842
6,1,2024-09,Billboards,329498.5,870605,23518,9016
7,1,2024-10,Social Media,778043.41,2676352,41376,15404
8,1,2024-10,TV Ads,372333.72,2829857,6965,15135
9,1,2024-10,Influencer,697801.21,881261,179781,9008
10,1,2024-10,Search Ads,790768.35,2155880,41196,11309
11,1,2024-10,Email,590748.66,4404236,120809,6219
12,1,2024-10,Billboards,349174.84,3139883,94091,13647
13,1,2024-11,Social Media,1094291.25,2207829,41948,8441
14,1,2024-11,TV Ads,509202.66,4992484,99253,4497
15,1,2024-11,Influencer,1317031.55,4311722,17576,15896
16,1,2024-11,Search Ads,717499.83,4420385,6970,11617
17,1,2024-11,Email,496177.18,203058,26488,11320
18,1,2024-11,Billboards,457529.17,3976450,132811,11169
19,1,2024-12,Social Media,1155407.02,3522827,79852,10461
20,1,2024-12,TV Ads,159532.44,1612827,89548,12689
21,1,2024-12,Influencer,861369.76,3009404,29495,748
22,1,2024-12,Search Ads,710982.45,951876,8565,9352
23,1,2024-12,Email,691704.1,1086444,185264,4442
24,1,2024-12,Billboards,315493.43,427798,138440,10424
25,1,2025-01,Social Media,960801.6,1963261,145256,6908
26,1,2025-01,TV Ads,617051.83,2589579,121314,10966
27,1,2025-01,Influencer,874077.83,675932,9325,1231
28,1,2025-01,Search Ads,195695.69,1573419,99071,10429
29,1,2025-01,Email,738833.36,1287163,43470,18160
30,1,2025-01,Billboards,605518.9,3760711,182313,18344
31,2,2024-06,Social Media,247043.67,2509191,120257,115
32,2,2024-06,TV Ads,284814.46,433441,52408,10408
33,2,2024-06,Influencer,459798.71,571994,124581,5770
34,2,2024-06,Search Ads,507299.41,621292,145921,14824
35,2,2024-06,Email,488336.51,3207532,137267,6253
36,2,2024-06,Billboards,320045.58,3182669,26224,19596
37,2,2024-07,Social Media,112358.19,198751,70175,10471
38,2,2024-07,TV Ads,515679.45,1737267,16249,18718
39,2,2024-07,Influencer,539390.08,1399258,182267,19812
40,2,2024-07,Search Ads,163504.46,2645001,163384,16009
41,2,2024-07,Email,641239.11,2670929,152107,2924
42,2,2024-07,Billboards,225771.42,4245417,34975,19742
43,2,2024-08,Social Media,252852.4,3440859,41956,12511
44,2,2024-08,TV Ads,69792.18,556620,18960,259
45,2,2024-08,Influencer,643598.69,4092950,120847,7104
46,2,2024-08,Search Ads,633197.97,3809376,188717,12688
47,2,2024-08,Email,710941.95,1368442,171787,11924
48,2,2024-08,Billboards,530855.87,3428416,46574,9740
49,2,2024-09,Social Media,583817.08,1265721,22663,13331
50,2,2024-09,TV Ads,168178.26,1618240,137172,1797
51,2,2024-09,Influencer,488968.62,4211841,146682,14823
52,2,2024-09,Search Ads,485004.71,3334179,57722,18043
53,2,2024-09,Email,113756.83,2641257,188590,17908
54,2,2024-09,Billboards,690961.23,172794,99717,10543
55,2,2024-10,Social Media,103030.82,2500067,67222,15061
56,2,2024-10,TV Ads,297573.57,4888225,154268,18108
57,2,2024-10,Influencer,541033.26,3064135,38216,603
58,2,2024-10,Search Ads,790101.27,4442269,90011,18856
59,2,2024-10,Email,131700.98,469077,149505,6508
60,2,2024-10,Billboards,474496.39,944256,88786,4958
61,3,2024-04,Social Media,582630.63,4020215,168360,9181
62,3,2024-04,TV Ads,329821.72,2456202,17696,12948
63,3,2024-04,Influencer,781799.76,2038158,171206,2170
64,3,2024-04,Search Ads,198716.78,882570,18513,8021
65,3,2024-04,Email,590124.58,2835816,153071,1593
66,3,2024-04,Billboards,667813.25,3926101,178508,483
67,3,2024-05,Social Media,537037.41,4482259,107889,1844
68,3,2024-05,TV Ads,441023.97,1995705,33452,16989
69,3,2024-05,Influencer,660245.93,4627314,113036,17338
70,3,2024-05,Search Ads,686721.79,1618606,71645,19695
71,3,2024-05,Email,473377.91,1748145,185641,5043
72,3,2024-05,Billboards,366884.27,1267688,196554,5094
73,3,2024-06,Social Media,659592.16,1272952,112851,17218
74,3,2024-06,TV Ads,141318.73,4900227,156587,11509
75,3,2024-06,Influencer,370070.53,422550,39617,9035
76,3,2024-06,Search Ads,453161.88,1994493,74015,12554
77,3,2024-06,Email,108750.95,2588351,4470,2253
78,3,2024-06,Billboards,477894.59,4910617,107956,8143
79,3,2024-07,Social Media,84785.78,1196255,139283,16607
80,3,2024-07,TV Ads,655470.61,2940318,146442,6903
81,3,2024-07,Influencer,677374.68,2510748,114133,11246
82,3,2024-07,Search Ads,775797.8,3321810,136694,8046
83,3,2024-07,Email,799368.4,235325,160745,9043
84,3,2024-07,Billboards,520223.21,3989092,171423,15599
85,3,2024-08,Social Media,419029.63,1101307,96228,159
86,3,2024-08,TV Ads,432752.14,2436417,192908,17020
87,3,2024-08,Influencer,319293.52,1344067,46237,7041
88,3,2024-08,Search Ads,375004.85,3211144,30818,9595
89,3,2024-08,Email,86611.47,4200980,156338,6105
90,3,2024-08,Billboards,454039.68,1957194,163157,7724
91,4,2024-07,Social Media,561293.71,4246232,170222,7403
92,4,2024-07,TV Ads,709258.8,1949684,75995,10732
93,4,2024-07,Influencer,472891.42,3563671,118523,16585
94,4,2024-07,Search Ads,583526.15,4950307,97096,6044
95,4,2024-07,Email,178786.07,1870353,119617,16142
96,4,2024-07,Billboards,111878.43,450530,114164,6195
97,4,2024-08,Social Media,547109.41,3946762,157865,10622
98,4,2024-08,TV Ads,722967.88,2953441,184302,846
99,4,2024-08,Influencer,335920.85,1729667,43759,726
100,4,2024-08,Search Ads,629855.12,4032833,143461,17639
101,4,2024-08,Email,199521.84,3676846,199177,15687
102,4,2024-08,Billboards,379921.8,4277642,138892,8899
103,4,2024-09,Social Media,184556.3,581566,3512,18640
104,4,2024-09,TV Ads,251003.89,391044,178749,8815
105,4,2024-09,Influencer,477692.31,668748,170013,19177
106,4,2024-09,Search Ads,716507.1,2279256,158838,3672
107,4,2024-09,Email,358435.36,3941722,134975,972
108,4,2024-09,Billboards,311295.78,4734945,65852,8492
109,4,2024-10,Social Media,335861.52,1586737,154766,19050
110,4,2024-10,TV Ads,582026.9,2707100,62200,13450
111,4,2024-10,Influencer,782515.27,271012,71005,10643
112,4,2024-10,Search Ads,298842.78,414659,76998,12153
113,4,2024-10,Email,652670.13,4620440,128853,4728
114,4,2024-10,Billboards,437346.15,1175072,91162,3679
115,4,2024-11,Social Media,672014.49,3589310,13561,4189
116,4,2024-11,TV Ads,231615.06,2626853,112777,15656
117,4,2024-11,Influencer,348116.86,603312,106118,18679
118,4,2024-11,Search Ads,170326.32,4100996,151224,19590
119,4,2024-11,Email,439473.56,4435906,81953,317
