perf_id,movie_id,city,month,total_views,unique_viewers,avg_rating,revenue_usd,engagement_score
1,1,Mumbai,2024-06,10847,6853,6.0,64244.01,80.8
2,2,Mumbai,2024-06,6046,3900,6.3,21651.57,51.2
3,3,Mumbai,2024-06,6435,5733,5.3,36281.23,51.4
4,4,Mumbai,2024-06,7059,6319,5.9,37288.93,55.4
5,5,Mumbai,2024-06,2255,1503,7.2,9555.64,55.1
6,6,Mumbai,2024-06,6586,3976,5.0,30409.48,76.0
7,7,Mumbai,2024-06,8304,7418,9.2,29023.36,60.1
8,8,Mumbai,2024-06,1482,1224,7.7,6254.38,54.4
9,9,Mumbai,2024-06,9802,5951,7.6,52872.21,66.1
10,10,Mumbai,2024-06,8380,7261,9.0,34444.39,65.2
11,11,Mumbai,2024-06,5992,4820,7.0,16075.32,84.9
12,12,Mumbai,2024-06,3825,2494,4.6,6207.96,91.2
13,13,Mumbai,2024-06,6872,5901,8.3,13389.14,96.5
14,14,Mumbai,2024-06,8806,5713,6.9,18625.56,48.9
15,15,Mumbai,2024-06,10105,6461,8.4,45579.08,49.0
16,1,Delhi,2024-06,5112,4596,9.2,20491.86,96.7
17,2,Delhi,2024-06,1499,920,5.3,3659.13,75.3
18,3,Delhi,2024-06,1206,779,5.9,5606.63,45.4
19,4,Delhi,2024-06,5540,4875,5.9,10414.28,55.8
20,5,Delhi,2024-06,7137,5025,8.8,40717.79,58.4
21,6,Delhi,2024-06,5396,4227,4.6,20008.92,71.7
22,7,Delhi,2024-06,5487,4288,8.1,31433.98,91.7
23,8,Delhi,2024-06,5318,3269,4.7,23122.99,46.2
24,9,Delhi,2024-06,2037,1532,6.3,11699.46,44.7
25,10,Delhi,2024-06,7265,4958,6.0,36468.08,43.6
26,11,Delhi,2024-06,9783,8110,6.5,47211.62,57.8
27,12,Delhi,2024-06,2705,2099,6.7,12967.33,84.1
28,13,Delhi,2024-06,8894,5856,8.9,34392.67,91.7
29,14,Delhi,2024-06,6862,5064,6.6,20598.53,90.9
30,15,Delhi,2024-06,7587,5458,6.4,18060.63,75.0
31,1,Bangalore,2024-06,18573,11970,5.2,57771.06,85.4
32,2,Bangalore,2024-06,1354,1202,4.8,2829.94,59.9
33,3,Bangalore,2024-06,6364,5203,4.8,10375.2,46.5
34,4,Bangalore,2024-06,3949,2762,6.0,20996.49,75.1
35,5,Bangalore,2024-06,210,131,6.5,1116.26,80.4
36,6,Bangalore,2024-06,6858,5165,7.8,34948.93,89.5
37,7,Bangalore,2024-06,2119,1611,5.7,7021.84,63.4
38,8,Bangalore,2024-06,2065,1432,8.6,9505.33,55.6
39,9,Bangalore,2024-06,2438,1582,4.9,5275.04,95.9
40,10,Bangalore,2024-06,1822,1623,5.1,3228.04,85.0
41,11,Bangalore,2024-06,3698,2405,6.1,11411.38,86.7
42,12,Bangalore,2024-06,7560,5664,8.8,39511.84,65.3
43,13,Bangalore,2024-06,7184,5530,5.1,21333.95,87.2
44,14,Bangalore,2024-06,6158,3736,6.8,32263.53,73.6
45,15,Bangalore,2024-06,1962,1227,5.7,9074.96,64.5
46,1,Hyderabad,2024-06,2439,1835,8.9,12754.78,74.7
47,2,Hyderabad,2024-06,5619,4976,6.8,23911.91,94.4
48,3,Hyderabad,2024-06,7481,5638,7.3,16633.42,86.7
49,4,Hyderabad,2024-06,11973,8045,9.1,66463.71,92.5
50,5,Hyderabad,2024-06,6962,5718,7.3,34262.12,48.8
51,6,Hyderabad,2024-06,1528,1162,4.6,3087.82,70.3
52,7,Hyderabad,2024-06,7462,4688,4.8,37176.14,73.2
53,8,Hyderabad,2024-06,2984,2503,7.1,13003.97,45.3
54,9,Hyderabad,2024-06,10693,7238,5.4,37858.14,68.2
55,10,Hyderabad,2024-06,7022,4340,8.7,19353.96,71.3
56,11,Hyderabad,2024-06,6849,4518,7.9,14659.22,76.6
57,12,Hyderabad,2024-06,2069,1472,5.2,10892.54,49.7
58,13,Hyderabad,2024-06,6612,4243,7.8,14104.13,88.1
59,14,Hyderabad,2024-06,8267,4962,8.8,29499.16,66.5
60,15,Hyderabad,2024-06,2329,2051,7.1,3548.94,88.0
61,1,Chennai,2024-06,1185,1008,6.4,7012.32,77.3
