review_id,movie_id,viewer_id,review_date,score,sentiment,platform,helpful_votes
1,2,1747,2024-07-11,8,Positive,WebBrowser,36
2,5,1095,2024-10-06,8,Positive,TabletApp,7
3,3,1135,2024-10-08,10,Positive,TabletApp,38
4,2,1691,2024-10-05,7,Positive,StreamMax,100
5,7,1631,2025-03-18,7,Positive,MobileApp,145
6,14,351,2024-07-10,8,Positive,SmartTV,89
7,2,1994,2025-04-25,3,Negative,MobileApp,145
8,11,877,2025-01-03,8,Positive,MobileApp,135
9,4,71,2024-06-28,5,Neutral,WebBrowser,77
10,2,1991,2025-02-12,10,Positive,TabletApp,5
11,13,834,2025-02-18,9,Positive,StreamMax,40
12,5,545,2024-08-25,5,Neutral,TabletApp,11
13,4,817,2024-07-19,6,Neutral,WebBrowser,117
14,10,1838,2024-06-28,10,Positive,StreamMax,28
15,7,1629,2025-01-04,3,Negative,TabletApp,82
16,5,939,2024-07-21,9,Positive,MobileApp,101
17,8,1022,2025-04-22,5,Neutral,StreamMax,72
18,4,1786,2024-07-22,6,Neutral,WebBrowser,42
19,4,1896,2024-10-23,7,Positive,WebBrowser,60
20,2,194,2024-10-01,3,Negative,TabletApp,63
21,11,307,2024-10-27,8,Positive,MobileApp,6
22,10,1412,2024-08-13,9,Positive,MobileApp,96
23,14,132,2024-12-11,10,Positive,WebBrowser,80
24,10,450,2024-12-11,3,Negative,TabletApp,125
25,9,1303,2024-12-16,4,Negative,StreamMax,147
26,6,1157,2025-02-10,4,Negative,MobileApp,138
27,3,730,2025-03-27,5,Neutral,TabletApp,77
28,4,397,2024-08-19,7,Positive,TabletApp,99
29,10,1202,2024-10-29,6,Neutral,SmartTV,5
30,13,1556,2024-08-23,4,Negative,WebBrowser,148
31,3,1541,2024-11-27,3,Negative,SmartTV,83
32,1,894,2024-07-26,6,Neutral,SmartTV,122
33,8,671,2024-10-27,6,Neutral,SmartTV,117
34,2,504,2025-04-04,8,Positive,TabletApp,85
35,14,1034,2024-08-12,8,Positive,StreamMax,37
36,10,1805,2024-12-28,3,Negative,MobileApp,3
37,8,1636,2024-08-05,5,Neutral,TabletApp,1
38,13,777,2025-03-18,8,Positive,MobileApp,42
39,11,240,2024-06-20,6,Neutral,MobileApp,94
40,15,703,2024-07-29,4,Negative,MobileApp,48
41,12,35,2024-12-25,3,Negative,SmartTV,30
42,14,1054,2024-07-16,4,Negative,StreamMax,5
43,4,442,2025-02-22,10,Positive,TabletApp,136
44,3,362,2024-09-11,5,Neutral,WebBrowser,83
45,13,445,2024-10-31,6,Neutral,MobileApp,22
46,4,148,2024-12-29,6,Neutral,MobileApp,61
47,7,549,2024-11-09,5,Neutral,TabletApp,129
48,1,1772,2024-06-10,9,Positive,MobileApp,118
49,12,1662,2024-10-21,4,Negative,StreamMax,109
50,15,932,2024-11-30,10,Positive,StreamMax,98
51,2,915,2025-03-11,5,Neutral,SmartTV,126
52,15,258,2025-04-15,9,Positive,SmartTV,134
53,9,1702,2025-03-22,7,Positive,TabletApp,71
54,15,703,2024-09-15,9,Positive,TabletApp,30
55,3,661,2025-04-20,3,Negative,TabletApp,3
56,11,801,2024-10-31,3,Negative,StreamMax,13
57,13,1411,2024-06-24,5,Neutral,TabletApp,98
58,1,74,2025-03-14,7,Positive,TabletApp,134
59,2,20,2025-01-06,3,Negative,MobileApp,72
60,6,521,2024-11-03,3,Negative,MobileApp,87
61,9,300,2024-11-16,3,Negative,SmartTV,91
62,7,577,2024-11-06,5,Neutral,StreamMax,112
63,6,621,2025-02-11,7,Positive,TabletApp,45
64,2,1020,2024-06-26,6,Neutral,MobileApp,36
65,1,565,2025-04-29,6,Neutral,TabletApp,47
66,2,1260,2024-07-24,4,Negative,WebBrowser,15
