activity_id,viewer_id,movie_id,watch_date,platform,watch_duration_min,completion_rate,rewatched,device_type
1,1254,1,2025-02-03,TabletApp,125,0.89,0,Desktop
2,1737,5,2025-02-21,SmartTV,97,0.71,0,TV
3,540,11,2025-01-07,SmartTV,66,0.56,0,Mobile
4,276,14,2024-11-12,TabletApp,107,0.9,0,Mobile
5,1607,15,2025-02-15,SmartTV,124,0.8,0,Desktop
6,1470,10,2025-04-27,WebBrowser,113,0.98,0,Mobile
7,897,6,2025-02-10,MobileApp,68,0.71,0,Tablet
8,118,7,2024-11-25,StreamMax,66,0.63,0,Mobile
9,566,14,2025-03-19,TabletApp,43,0.48,0,Desktop
10,441,15,2025-01-18,SmartTV,65,0.52,0,Tablet
11,1106,1,2025-03-28,TabletApp,45,0.52,0,TV
12,1587,8,2024-07-07,WebBrowser,113,0.73,0,Desktop
13,1232,2,2024-08-31,WebBrowser,80,0.89,0,TV
14,1938,1,2024-12-24,WebBrowser,131,0.96,0,Tablet
15,704,1,2025-02-15,SmartTV,60,0.42,0,Desktop
16,411,3,2024-09-25,SmartTV,53,0.55,0,Mobile
17,42,7,2025-04-07,SmartTV,32,0.34,0,Mobile
18,1084,15,2024-06-07,SmartTV,41,0.3,0,TV
19,1958,13,2024-08-28,MobileApp,64,0.43,0,TV
20,1400,1,2024-08-19,MobileApp,100,0.7,0,Tablet
21,80,1,2025-03-03,SmartTV,94,0.92,1,Mobile
22,370,4,2025-03-30,WebBrowser,66,0.66,0,Desktop
23,1885,15,2024-11-20,WebBrowser,151,0.96,0,Mobile
24,135,9,2024-11-21,MobileApp,49,0.47,1,Tablet
25,828,2,2024-06-22,TabletApp,81,0.55,0,Mobile
26,657,9,2025-02-25,TabletApp,107,0.69,0,Desktop
27,278,3,2025-01-16,WebBrowser,103,0.83,0,Tablet
28,49,1,2025-02-07,TabletApp,55,0.37,0,Tablet
29,1579,15,2024-10-26,TabletApp,79,0.84,1,Desktop
30,629,14,2025-03-28,MobileApp,128,0.82,0,Mobile
31,97,7,2024-11-03,TabletApp,75,0.57,0,Tablet
32,1074,10,2024-08-31,MobileApp,61,0.66,0,Desktop
33,1460,14,2024-11-11,WebBrowser,39,0.35,0,Mobile
34,782,1,2024-09-14,StreamMax,47,0.38,1,TV
35,799,15,2024-09-25,StreamMax,77,0.56,0,Desktop
36,529,8,2025-01-03,MobileApp,99,0.78,1,TV
37,21,5,2024-12-30,SmartTV,119,0.88,1,Desktop
38,1000,12,2024-10-08,StreamMax,99,0.72,0,Tablet
39,1413,1,2025-01-15,StreamMax,57,0.38,0,TV
40,1516,1,2024-10-10,SmartTV,110,0.8,0,TV
41,536,13,2024-07-26,MobileApp,114,0.83,1,Tablet
42,1062,2,2024-06-19,StreamMax,63,0.63,0,Tablet
43,1562,2,2024-07-05,WebBrowser,63,0.47,0,Tablet
44,85,8,2025-02-13,MobileApp,94,0.84,0,Mobile
45,1943,8,2024-08-18,MobileApp,64,0.54,0,Desktop
46,116,14,2024-12-18,TabletApp,71,0.57,0,Desktop
47,688,8,2025-01-11,StreamMax,46,0.32,1,TV
48,294,7,2025-03-08,StreamMax,92,0.97,0,Tablet
49,36,7,2025-04-13,SmartTV,103,0.8,0,Mobile
50,13,9,2024-12-13,WebBrowser,28,0.3,0,Mobile
51,1561,13,2025-04-18,StreamMax,50,0.32,0,Tablet
